"","Age","Gender","Education.Level","Job.Title","Years.of.Experience","Salary","Country","Race","Senior"
"1",32,"Male",1,"Software Engineer",5,90000,"UK","White",0
"2",28,"Female",2,"Data Analyst",3,65000,"USA","Hispanic",0
"3",45,"Male",3,"Manager",NA,150000,"Canada","White",1
"4",36,"Female",1,"Sales Associate",7,60000,"USA","Hispanic",0
"5",52,"Male",2,"Director",20,2e+05,"USA","Asian",0
"6",29,"Male",1,"Marketing Analyst",2,55000,"USA","Hispanic",0
"7",42,"Female",2,"Product Manager",12,120000,"USA","Asian",0
"8",31,"Male",1,"Sales Manager",4,80000,"China","Korean",0
"9",26,"Female",1,"Marketing Coordinator",1,45000,"China","Chinese",0
"10",38,"Male",3,"Scientist",10,110000,"Australia","Australian",1
"11",29,"Male",2,"Software Developer",3,75000,"UK","Welsh",0
"12",48,"Female",1,"HR Manager",18,140000,"UK","Asian",0
"13",35,"Male",1,"Financial Analyst",6,NA,"China","Korean",0
"14",40,"Female",2,"Project Manager",14,NA,"USA","African American",0
"15",27,"Male",1,"Customer Service Rep",NA,40000,"Canada","Asian",0
"16",44,"Male",1,"Operations Manager",16,125000,"China","Chinese",0
"17",33,"Female",2,"Marketing Manager",7,90000,"USA","Asian",0
"18",39,"Male",3,"Engineer",12,NA,"UK","Mixed",1
"19",25,"Female",1,"Data Entry Clerk",0,35000,"UK","Asian",0
"20",51,"Male",1,"Sales Director",NA,180000,"Australia","Asian",0
"21",34,"Female",2,"Business Analyst",5,80000,"China","Korean",0
"22",47,"Male",2,"VP of Operations",19,190000,"UK","White",0
"23",30,"Male",1,"IT Support",2,50000,"UK","Asian",0
"24",36,"Female",1,"NaN",NA,60000,"China","White",0
"25",41,"Male",2,"Financial Manager",13,NA,"USA","African American",0
"26",28,"Female",1,"Social Media Specialist",3,45000,"Canada","White",0
"27",37,"Female",2,"Software Manager",11,110000,"Australia","Asian",0
"28",24,"Male",1,"Developer",1,40000,"Australia","Asian",0
"29",43,"Female",3,"Consultant",15,140000,"Canada","Black",1
"30",33,"Male",2,"NaN",6,90000,"China","Korean",0
"31",50,"Male",1,"CEO",25,250000,"Canada","Asian",0
"32",31,"Female",1,"Accountant",4,55000,"UK","White",0
"33",29,"Male",2,"Data Scientist",3,75000,"USA","Hispanic",0
"34",39,"Female",1,"Marketing Specialist",10,65000,"Canada","White",0
"35",46,"Male",3,"Manager",20,NA,"USA","Hispanic",1
"36",27,"Male",1,"Technical Writer",2,45000,"Australia","Asian",0
"37",35,"Female",1,"HR Generalist",7,60000,"UK","White",0
"38",42,"Male",2,"Project Engineer",14,115000,"China","White",0
"39",26,"Female",1,"Customer Success Rep",1,40000,"Canada","Asian",0
"40",49,"Male",1,"Sales Executive",21,160000,"China","White",0
"41",34,"Female",2,"UX Designer",5,80000,"UK","Asian",0
"42",48,"Male",2,"Operations Director",18,NA,"Canada","Black",0
"43",30,"Male",1,"NaN",3,60000,"China","Korean",0
"44",36,"Female",1,"Administrative Assistant",8,45000,"UK","Asian",0
"45",41,"Male",2,"NaN",13,130000,"UK","Asian",0
"46",28,"Female",1,"Copywriter",2,40000,"USA","White",0
"47",32,"Male",1,"Account Manager",5,75000,"Australia","Asian",0
"48",45,"Female",2,"Director of Marketing",16,180000,"UK","Welsh",0
"49",38,"Male",3,"Scientist",11,120000,"Australia","Asian",1
"50",25,"Male",1,"NaN",0,35000,"USA","Asian",0
"51",51,"Female",1,"Customer Service Manager",22,130000,"China","Korean",0
"52",33,"Male",2,"Business Intelligence Analyst",7,85000,"Australia","Australian",0
"53",40,"Female",1,"Event Coordinator",12,60000,"China","White",0
"54",47,"Male",2,"VP of Finance",NA,NA,"Australia","Asian",0
"55",29,"Female",1,"Graphic Designer",3,50000,"Canada","Black",0
"56",36,"Male",1,"Sales Manager",9,95000,"China","Korean",0
"57",27,"Female",2,"UX Researcher",2,65000,"Canada","White",0
"58",43,"Male",3,"Engineer",NA,140000,"USA","Hispanic",1
"59",30,"Female",1,"Social Media Manager",4,55000,"Canada","White",0
"60",35,"Male",2,"Product Manager",7,105000,"Canada","Asian",0
"61",51,"Female",2,"Director of Operations",NA,170000,"USA","African American",0
"62",29,"Male",1,"Marketing Analyst",3,50000,"China","Chinese",0
"63",40,"Female",1,"HR Manager",12,80000,"China","Korean",0
"64",47,"Male",3,"Data Scientist",NA,180000,"China","White",1
"65",26,"Male",1,"Accountant",1,35000,"Australia","Australian",0
"66",38,"Female",2,"Digital Marketing Manager",10,90000,"China","Korean",0
"67",46,"Male",1,"IT Manager",19,120000,"Australia","Australian",0
"68",31,"Female",1,"Customer Service Representative",NA,45000,"Canada","Asian",0
"69",34,"Male",2,"Business Development Manager",8,90000,"Canada","Asian",0
"70",49,"Female",2,"Financial Analyst",NA,150000,"Canada","White",1
"71",33,"Male",1,"Web Developer",6,65000,"USA","Hispanic",0
"72",39,"Female",1,"Recruiter",NA,70000,"USA","Asian",0
"73",45,"Male",3,"Research Director",16,190000,"UK","Mixed",0
"74",28,"Male",1,"Technical Support Specialist",2,40000,"China","Korean",0
"75",42,"Female",2,"Creative Director",14,120000,"Canada","Black",0
"76",37,"Male",1,"Project Manager",NA,95000,"USA","Asian",0
"77",50,"Female",1,"Operations Manager",22,160000,"USA","White",0
"78",32,"Male",2,"Software Engineer",6,1e+05,"USA","African American",1
"79",48,"Female",2,"Human Resources Director",20,180000,"Canada","Black",0
"80",30,"Female",1,"Content Marketing Manager",3,55000,"Australia","White",0
"81",36,"Male",1,"Technical Recruiter",8,NA,"UK","Asian",0
"82",41,"Female",2,"Data Analyst",13,80000,"USA","White",0
"83",25,"Male",1,"Sales Representative",0,30000,"Australia","Asian",0
"84",52,"Male",3,"Chief Technology Officer",24,250000,"Canada","Black",0
"85",29,"Female",1,"Designer",2,40000,"Australia","Asian",0
"86",34,"Female",2,"Financial Advisor",10,95000,"UK","White",0
"87",27,"Male",1,"Account Manager",2,45000,"Canada","White",0
"88",40,"Female",1,"HR Generalist",15,80000,"USA","Hispanic",0
"89",46,"Male",2,"Project Manager",21,135000,"Canada","Asian",1
"90",31,"Female",1,"Marketing Coordinator",6,55000,"Australia","Asian",0
"91",36,"Male",3,"Principal Scientist",11,120000,"UK","Mixed",0
"92",29,"Female",1,"Sales Associate",NA,NA,"China","White",0
"93",43,"Male",1,"Supply Chain Manager",18,105000,"UK","Welsh",0
"94",52,"Female",2,"Marketing Manager",NA,170000,"China","Chinese",1
"95",33,"Male",1,"Business Analyst",7,75000,"Australia","Australian",0
"96",39,"Female",1,"Training Specialist",12,65000,"USA","African American",0
"97",47,"Male",3,"Research Scientist",22,160000,"Australia","Asian",0
"98",26,"Male",1,"Software Developer",NA,35000,"China","White",0
"99",38,"Female",2,"Public Relations Manager",NA,90000,"UK","Asian",0
"100",45,"Male",1,"Operations Analyst",20,110000,"China","Chinese",0
"101",31,"Female",1,"Event Coordinator",5,45000,"Australia","Asian",0
"102",35,"Male",2,"Product Marketing Manager",8,95000,"China","White",0
"103",49,"Female",2,"HR Manager",19,150000,"Australia","White",1
"104",33,"Male",1,"Web Developer",5,50000,"Canada","Asian",0
"105",39,"Female",2,"Project Coordinator",13,80000,"UK","Welsh",1
"106",44,"Male",3,"Chief Data Officer",NA,NA,"USA","African American",0
"107",30,"Female",1,"Digital Content Producer",3,50000,"UK","White",0
"108",36,"Male",1,"IT Support Specialist",7,60000,"USA","Asian",0
"109",41,"Female",2,"Marketing Analyst",14,1e+05,"USA","White",1
"110",28,"Male",1,"Customer Success Manager",2,40000,"USA","Hispanic",0
"111",42,"Female",2,"Graphic Designer",15,NA,"USA","Asian",1
"112",37,"Male",1,"Software Project Manager",9,95000,"UK","White",0
"113",50,"Female",1,"Supply Chain Analyst",22,130000,"UK","Welsh",0
"114",32,"Male",2,"Business Analyst",6,90000,"USA","Asian",1
"115",23,"Female",1,"Marketing Analyst",0.5,35000,"USA","White",0
"116",31,"Male",2,"Financial Analyst",6,95000,"Australia","Asian",1
"117",40,"Female",1,"Office Manager",15,65000,"USA","White",0
"118",48,"Male",3,"Principal Engineer",NA,170000,"USA","Hispanic",0
"119",29,"Female",1,"HR Generalist",3,45000,"Australia","Australian",0
"120",35,"Male",2,"Product Manager",10,120000,"Canada","White",1
"121",42,"Female",1,"Sales Manager",17,NA,"China","Korean",0
"122",53,"Male",2,"Director of Marketing",25,180000,"UK","Mixed",0
"123",33,"Female",1,"Operations Analyst",5,50000,"Australia","Australian",0
"124",38,"Male",1,"Customer Service Manager",11,NA,"China","White",0
"125",44,"Female",3,"Scientist",NA,140000,"UK","Mixed",1
